,userId,projectName,totalHoursWorked,techUsed,performance,Domain
0,6612382ec478ba97b06a6c5d,TechTerra,106,Power BI,good,Data
1,6612382ec478ba97b06a6c5d,StackForge,100,Python,good,Data
2,6612382ec478ba97b06a6c5e,InsightStack,144,AWS Lambda,good,Full Stack
3,6612382ec478ba97b06a6c5e,TrendTerra,73,Javascript,good,Full Stack
4,6612382ec478ba97b06a6c5f,DataCraftsmanInsight,142,Alteryx,average,Full Stack
5,6612382ec478ba97b06a6c5f,AnalytixPro,114,Javascript,excellent,Full Stack
6,6612382ec478ba97b06a6c60,DataStacker,132,Power BI,excellent,Data
7,6612382ec478ba97b06a6c60,DataMason,112,Python,excellent,Full Stack
8,6612382ec478ba97b06a6c61,StackScope,142,AWS Lambda,average,Full Stack
9,6612382ec478ba97b06a6c61,StackScope,52,React,excellent,Full Stack
10,6612382ec478ba97b06a6c62,StreamBuilder,55,Tableau,good,Full Stack
11,6612382ec478ba97b06a6c62,AnalyzeWise,50,Tableau,good,Data
12,6612382ec478ba97b06a6c63,DataDriven,64,Snowflake,average,Full Stack
13,6612382ec478ba97b06a6c63,PixelPulse,127,Power BI,good,Data
14,6612382ec478ba97b06a6c64,InsightBuilder,134,Python,average,Full Stack
15,6612382ec478ba97b06a6c64,ByteBlast,64,Python,good,Full Stack
16,6612382ec478ba97b06a6c65,CodeCrafter,131,AWS Lambda,good,Data
17,6612382ec478ba97b06a6c65,DataFlowX,115,Snowflake,average,Data
18,6612382ec478ba97b06a6c66,StackScope,98,Javascript,good,Full Stack
19,6612382ec478ba97b06a6c66,PipelinePro,112,React,good,Full Stack
20,6612382fc478ba97b06a6c67,AppAlchemy,124,Angular,good,Data
21,6612382fc478ba97b06a6c67,Insightify,88,Javascript,good,Data
22,6612382fc478ba97b06a6c68,ByteBridgeX,89,Alteryx,average,Data
23,6612382fc478ba97b06a6c68,TechTrek,81,Power BI,excellent,Full Stack
24,6612382fc478ba97b06a6c69,AnalyzeRight,133,SQL,good,Full Stack
25,6612382fc478ba97b06a6c69,StackStream,145,Angular,excellent,Data
26,6612382fc478ba97b06a6c6a,FullTrendTrack,136,SQL,good,Full Stack
27,6612382fc478ba97b06a6c6a,ETLGenius,57,AWS Lambda,average,Data
28,6612382fc478ba97b06a6c6b,DataForge,60,Alteryx,average,Full Stack
29,6612382fc478ba97b06a6c6b,StreamSculpt,97,Javascript,average,Full Stack
30,6612382fc478ba97b06a6c6c,StackSpotter,91,ADF,good,Full Stack
31,6612382fc478ba97b06a6c6c,Insightify,75,Javascript,good,Data
32,6612382fc478ba97b06a6c6d,FullStackInsight,60,Tableau,excellent,Full Stack
33,6612382fc478ba97b06a6c6d,AnalyzeByte,111,SQL,average,Data
34,6612382fc478ba97b06a6c6e,CodeCompass,72,SQL,excellent,Data
35,6612382fc478ba97b06a6c6e,DataDynamo,143,AWS Lambda,good,Full Stack
36,6612382fc478ba97b06a6c6f,DataCraftsmanInsight,143,SQL,average,Data
37,6612382fc478ba97b06a6c6f,DataForge,135,SQL,good,Full Stack
38,6612382fc478ba97b06a6c70,DataSavvyStack,112,SQL,excellent,Data
39,6612382fc478ba97b06a6c70,DataNexus,80,Angular,average,Full Stack
40,6612382fc478ba97b06a6c71,FullDataInsight,74,Angular,average,Full Stack
41,6612382fc478ba97b06a6c71,InsightStreamX,111,React,good,Data
42,6612382fc478ba97b06a6c72,CodeCraftsmanX,80,React,good,Data
43,6612382fc478ba97b06a6c72,StackSpotter,129,Alteryx,good,Full Stack
44,6612382fc478ba97b06a6c73,StackSpotter,61,ADF,excellent,Data
45,6612382fc478ba97b06a6c73,DataCraftsman,106,Tableau,average,Data
46,6612382fc478ba97b06a6c74,InsightBuilder,92,ADF,excellent,Full Stack
47,6612382fc478ba97b06a6c74,AnalyticaPro,90,AWS Lambda,average,Full Stack
48,6612382fc478ba97b06a6c75,AnalyzeAll,51,React,average,Full Stack
49,6612382fc478ba97b06a6c75,StackSpotter,90,Tableau,average,Full Stack
50,6612382fc478ba97b06a6c76,PixelPioneer,78,Javascript,excellent,Full Stack
51,6612382fc478ba97b06a6c76,StreamStack,61,Alteryx,good,Full Stack
52,6612382fc478ba97b06a6c77,FlowFlex,81,Angular,good,Data
53,6612382fc478ba97b06a6c77,DataStacker,102,ADF,good,Data
54,6612382fc478ba97b06a6c78,DataWarp,116,ADF,average,Full Stack
55,6612382fc478ba97b06a6c78,StreamSavvy,118,Javascript,good,Data
56,6612382fc478ba97b06a6c79,DataScope,87,Snowflake,good,Full Stack
57,6612382fc478ba97b06a6c79,FullDataNexus,99,Python,average,Full Stack
58,6612382fc478ba97b06a6c7a,FullStackInsight,143,Python,average,Data
59,6612382fc478ba97b06a6c7a,WebWizardry,98,Snowflake,excellent,Data
60,6612382fc478ba97b06a6c7b,AnalyzeAll,95,React,average,Full Stack
61,6612382fc478ba97b06a6c7b,InsightStream,129,Python,excellent,Full Stack
62,66123830c478ba97b06a6c7c,DataMason,123,Javascript,average,Full Stack
63,66123830c478ba97b06a6c7c,ETLArchitect,53,Python,good,Full Stack
64,66123830c478ba97b06a6c7d,FullInsightForge,133,Angular,good,Full Stack
65,66123830c478ba97b06a6c7d,PipelinePioneer,92,Alteryx,excellent,Data
66,66123830c478ba97b06a6c7e,CodeCrafter,126,Angular,excellent,Data
67,66123830c478ba97b06a6c7e,ETLGenius,127,Python,good,Full Stack
68,66123830c478ba97b06a6c7f,DataStack,70,React,good,Full Stack
69,66123830c478ba97b06a6c7f,WebWarp,144,Python,average,Data
70,66123830c478ba97b06a6c80,DataTrekker,70,ADF,excellent,Data
71,66123830c478ba97b06a6c80,DataSavvyInsight,86,ADF,average,Data
72,66123830c478ba97b06a6c81,CodeCanvas,72,ADF,good,Full Stack
73,66123830c478ba97b06a6c81,FlowForge,135,Tableau,average,Data
74,66123830c478ba97b06a6c82,DataPulse,113,AWS Lambda,excellent,Data
75,66123830c478ba97b06a6c82,FullInsightForge,102,React,excellent,Data
76,66123830c478ba97b06a6c83,InsightGenius,93,SQL,good,Data
77,66123830c478ba97b06a6c83,ByteBlast,121,Tableau,good,Full Stack
78,66123830c478ba97b06a6c84,StackSavvy,115,Angular,average,Full Stack
79,66123830c478ba97b06a6c84,DataPulse,145,React,average,Data
80,66123830c478ba97b06a6c85,DataScope,117,ADF,average,Data
81,66123830c478ba97b06a6c85,StreamSculpt,67,Tableau,good,Full Stack
82,66123830c478ba97b06a6c86,TrendTerra,50,Python,good,Data
83,66123830c478ba97b06a6c86,DataDriven,119,AWS Lambda,average,Data
84,66123830c478ba97b06a6c87,CodeCraftsmanX,95,SQL,good,Full Stack
85,66123830c478ba97b06a6c87,CodeCrafter,126,Javascript,good,Full Stack
86,66123830c478ba97b06a6c88,PipelinePioneer,137,Tableau,average,Data
87,66123830c478ba97b06a6c88,AnalyzeRight,137,Python,good,Full Stack
88,66123830c478ba97b06a6c89,ByteBridge,141,SQL,excellent,Full Stack
89,66123830c478ba97b06a6c89,ByteBridgeData,96,Power BI,good,Data
90,66123830c478ba97b06a6c8a,TechTerra,78,Power BI,good,Full Stack
91,66123830c478ba97b06a6c8a,DataForge,50,ADF,average,Full Stack
92,66123830c478ba97b06a6c8b,DataDynamo,93,Javascript,average,Data
93,66123830c478ba97b06a6c8b,AnalyzeRight,140,Alteryx,excellent,Data
94,66123831c478ba97b06a6c8c,DataSculptor,86,Snowflake,excellent,Full Stack
95,66123831c478ba97b06a6c8c,FullStackInsight,50,AWS Lambda,excellent,Data
96,66123831c478ba97b06a6c8d,InsightStream,126,Python,excellent,Data
97,66123831c478ba97b06a6c8d,PixelPulse,124,Angular,excellent,Full Stack
98,66123831c478ba97b06a6c8e,AnalyzeAll,66,Tableau,average,Data
99,66123831c478ba97b06a6c8e,ETLGenius,69,Javascript,excellent,Data
100,66123831c478ba97b06a6c8f,DataNexus,82,Python,average,Data
101,66123831c478ba97b06a6c8f,FullDataForge,54,Javascript,good,Data
102,66123831c478ba97b06a6c90,FullTrendTrack,88,Python,average,Data
103,66123831c478ba97b06a6c90,FlowFlex,84,Python,excellent,Full Stack
104,66123831c478ba97b06a6c91,ByteBridgeX,60,Javascript,good,Full Stack
105,66123831c478ba97b06a6c91,TrendTerra,138,Tableau,average,Full Stack
106,66123831c478ba97b06a6c92,DataStacker,147,AWS Lambda,average,Data
107,66123831c478ba97b06a6c92,StreamBuilder,93,Snowflake,average,Full Stack
108,66123831c478ba97b06a6c93,DataForge,121,AWS Lambda,excellent,Data
109,66123831c478ba97b06a6c93,FullDataForge,125,Javascript,good,Data
110,66123831c478ba97b06a6c94,DataSavvyInsight,134,Tableau,excellent,Full Stack
111,66123831c478ba97b06a6c94,StackForge,137,Angular,average,Data
112,66123831c478ba97b06a6c95,DataTrekker,74,Javascript,average,Data
113,66123831c478ba97b06a6c95,TrendSpotter,61,AWS Lambda,good,Data
